InputSize, Comp(ISort), Comp(QSort)
342, 34808, 4049
343, 34365, 3923
344, 34471, 4331
345, 33918, 3988
346, 34310, 4314
347, 33204, 4078
348, 35010, 4004
349, 33928, 4611
350, 36085, 4576
351, 35939, 4493
352, 36748, 4183
353, 35828, 4889
354, 35041, 4551
355, 38477, 4341
356, 35887, 4082
357, 36344, 4492
358, 35934, 4870
359, 36877, 4353
360, 36606, 4869
361, 40129, 4326
362, 37225, 4700
363, 41002, 4876
364, 37942, 4306
365, 40395, 4925
366, 38163, 4329
367, 41039, 4625
368, 36069, 4552
369, 40166, 4302
370, 38876, 4957
371, 42247, 4706
372, 41239, 4362
373, 41695, 4463
374, 40446, 4592
375, 40595, 4441
376, 42047, 4783
377, 40434, 4746
378, 40293, 5113
379, 42025, 4530
380, 41984, 4885
381, 40995, 4500
382, 42607, 4417
383, 42463, 4755
384, 43172, 4860
385, 44136, 4582
386, 43963, 4665
387, 43557, 4511
388, 43268, 5149
389, 42636, 4657
390, 43177, 4638
391, 44891, 4810
392, 44675, 4986
393, 43318, 5163
394, 46755, 4701
395, 43026, 4581
396, 43859, 4574
397, 44753, 4789
398, 46288, 4776
399, 46297, 4647
400, 46225, 5043
401, 48183, 4727
402, 46570, 4828
403, 47738, 5222
404, 47874, 5079
405, 45821, 5487
406, 47221, 5051
407, 49792, 4804
408, 47376, 5182
409, 47079, 5071
410, 46991, 4850
411, 49058, 5174
412, 48575, 5660
413, 50906, 4939
414, 50928, 5188
415, 50951, 5165
416, 52882, 5013
417, 52875, 5298
418, 52392, 5195
419, 54491, 5581
420, 47750, 4871
421, 51416, 5499
422, 49250, 5248
423, 54298, 5383
424, 50948, 5356
425, 50882, 5592
426, 49743, 5073
427, 53632, 5354
428, 53865, 5073
429, 52835, 5374
430, 54856, 5121
431, 51209, 6044
432, 55433, 5428
433, 55495, 5271
434, 57604, 5415
435, 53338, 5786
436, 54364, 5329
437, 55843, 5150
438, 54695, 5136
439, 54912, 5461
440, 55813, 5587
441, 55229, 5286
442, 54102, 5612
443, 54476, 6155
444, 58817, 5400
445, 54508, 5219
446, 57469, 5561
447, 57878, 5757
448, 56770, 6288
449, 57853, 5742
450, 60269, 5949
451, 57776, 5511
452, 59222, 5792
453, 58796, 5641
454, 60214, 5904
455, 59001, 5284
456, 58589, 5706
457, 61346, 5337
458, 61232, 5661
459, 60639, 5551
460, 60520, 6104
461, 62304, 5810
462, 61791, 5830
463, 63007, 5499
464, 58107, 5825
465, 60997, 6456
466, 63530, 6151
467, 63726, 5864
468, 62782, 6118
469, 65573, 5891
470, 62767, 5729
471, 66593, 6578
472, 61069, 5612
473, 64344, 6100
474, 65188, 6295
475, 63362, 6417
476, 64413, 6184
477, 64252, 5726
478, 64301, 6343
479, 64454, 6127
480, 64974, 6266
481, 65352, 6285
482, 68074, 6015
483, 65250, 5815
484, 69191, 6080
485, 69232, 6082
486, 69143, 6199
487, 64737, 6252
488, 72997, 6920
489, 71972, 6753
490, 66942, 6194
491, 71264, 6623
492, 68069, 6259
493, 73797, 6742
494, 70876, 6933
495, 72936, 6047
496, 72068, 6371
497, 68101, 6220
498, 72091, 6004
499, 71684, 6355
500, 72018, 6801
501, 72928, 6432
502, 70571, 6912
503, 70164, 6251
504, 71989, 6656
505, 74458, 6968
506, 73292, 6613
507, 71923, 6625
508, 73891, 6520
509, 75534, 6373
510, 73977, 6639
511, 74888, 6394
512, 76481, 6505
513, 75099, 6804
514, 76252, 6354
515, 78555, 6885
516, 76691, 7419
517, 75269, 6223
518, 80021, 6738
519, 79089, 6421
520, 80273, 6605
521, 76649, 6684
522, 77650, 6875
523, 79619, 6492
524, 77925, 7930
525, 79061, 6511
526, 80861, 6703
527, 79914, 6757
528, 80095, 7102
529, 77679, 7010
530, 81123, 7343
531, 83237, 7003
532, 78088, 6605
533, 79020, 6674
534, 82236, 6851
535, 82124, 6733
536, 86947, 6529
537, 81566, 7050
538, 81188, 7227
539, 86663, 7811
540, 86104, 7195
541, 81258, 6975
542, 87116, 6788
543, 85229, 7121
544, 88778, 6712
545, 86158, 7101
546, 86599, 6774
547, 86975, 7037
548, 92600, 7376
549, 85652, 6788
550, 90448, 7062
551, 88949, 6823
552, 90913, 7151
553, 84393, 6919
554, 85837, 6991
555, 89222, 7186
556, 88298, 7692
557, 91284, 7813
558, 88595, 7547
559, 93294, 7166
560, 95479, 7714
561, 89794, 6930
562, 88275, 7635
563, 91890, 7451
564, 91731, 7286
565, 95684, 6979
566, 95450, 7167
567, 94857, 7228
568, 92175, 7149
569, 94194, 7397
570, 96128, 7795
571, 93754, 7515
572, 92717, 7291
573, 93821, 7562
574, 97197, 7809
575, 94038, 7183
576, 94334, 7534
577, 97408, 7760
578, 97540, 7781
579, 99530, 7563
580, 97443, 7078
581, 94990, 7434
582, 100603, 7754
583, 97045, 7230
584, 97354, 7583
585, 97711, 7137
586, 97515, 7846
587, 99959, 7659
588, 98985, 7948
589, 102290, 8443
590, 100057, 7317
591, 99434, 7358
592, 104513, 7818
593, 97594, 7903
594, 95803, 7456
595, 96803, 7911
596, 98928, 7777
597, 103784, 7805
598, 101209, 7920
599, 101362, 7537
600, 104299, 8163
601, 101781, 7602
602, 103998, 8161
603, 101099, 8763
604, 105612, 7847
605, 102041, 7881
606, 105173, 8166
607, 110288, 7678
608, 110295, 8788
609, 105527, 7569
610, 107861, 8053
611, 113640, 8388
612, 104701, 7510
613, 108769, 8066
614, 104333, 8454
615, 114006, 7886
616, 108650, 8275
617, 107454, 9144
618, 106759, 7763
619, 109872, 8308
620, 105518, 8425
621, 111194, 8174
622, 113495, 8127
623, 111438, 8137
624, 107682, 8540
625, 113393, 8266
626, 115913, 8481
627, 114901, 7923
628, 115625, 8083
629, 114876, 7695
630, 111539, 9032
631, 116268, 7920
632, 119082, 8115
633, 112428, 9149
634, 120770, 8186
635, 121130, 8687
636, 115393, 8168
637, 118862, 8205
638, 114329, 8504
639, 121113, 8485
640, 117114, 9243
641, 117840, 9789
642, 117282, 8403
643, 120226, 8221
644, 124634, 9910
645, 117094, 8281
646, 123873, 8580
647, 119859, 9310
648, 119525, 8917
649, 121232, 8420
650, 122167, 8640
651, 120773, 8218
652, 122704, 8826
653, 125221, 8947
654, 126375, 8197
655, 123785, 9263
656, 124939, 9395
657, 120942, 8778
658, 126729, 9365
659, 125823, 8242
660, 132189, 8303
661, 124257, 8459
662, 125687, 8764
663, 126384, 8756
664, 123403, 8471
665, 128935, 8812
666, 126677, 9644
667, 131790, 8897
668, 130284, 9300
669, 123790, 9106
670, 130503, 8379
671, 133104, 8993
672, 131975, 9944
673, 127326, 9841
674, 128790, 9330
675, 137162, 9096
676, 132224, 8804
677, 135067, 8457
678, 131493, 9407
